Date	Price	Open	High	Low	Vol.	Change
31-Mar-19	4,102.30	4,111.80	4,121.90	4,082.20	2.43M	-23.00
30-Mar-19	4,111.80	4,103.70	4,138.10	4,057.10	2.55M	23.00
29-Mar-19	4,102.20	4,025.70	4,123.10	4,022.60	3.30M	190.00
28-Mar-19	4,025.60	4,041.70	4,041.70	4,008.40	2.11M	-40.00
27-Mar-19	4,041.70	3,942.80	4,043.30	3,936.20	2.78M	251.00
26-Mar-19	3,942.80	3,937.10	3,950.70	3,899.90	2.53M	15.00
25-Mar-19	3,937.00	3,994.80	4,000.50	3,897.90	2.86M	-144.00
24-Mar-19	3,994.70	4,002.60	4,005.70	3,967.00	2.04M	-20.00
23-Mar-19	4,002.50	3,990.40	4,018.20	3,980.80	2.00M	30.00
22-Mar-19	3,990.40	3,982.20	4,005.70	3,971.80	2.83M	21.00
21-Mar-19	3,982.20	4,041.20	4,064.00	3,923.80	3.88M	-146.00
20-Mar-19	4,041.20	4,017.00	4,050.00	3,985.30	3.18M	60.00
19-Mar-19	4,017.00	3,990.20	4,029.90	3,972.40	2.99M	67.00
18-Mar-19	3,990.20	3,981.50	4,032.30	3,958.50	2.62M	22.00
17-Mar-19	3,981.50	4,006.40	4,009.80	3,956.30	1.87M	-62.00
16-Mar-19	4,006.40	3,924.40	4,050.60	3,923.70	3.46M	209.00
15-Mar-19	3,924.30	3,879.00	3,935.70	3,874.80	3.11M	117.00
14-Mar-19	3,879.00	3,865.10	3,914.70	3,828.40	2.86M	36.00
13-Mar-19	3,865.10	3,885.90	3,894.70	3,847.40	2.28M	-54.00
12-Mar-19	3,886.00	3,870.30	3,900.10	3,817.10	2.90M	41.00
11-Mar-19	3,870.30	3,915.20	3,935.50	3,842.40	3.19M	-115.00
10-Mar-19	3,915.20	3,944.40	3,944.50	3,889.20	1.89M	-74.00
09-Mar-19	3,944.30	3,865.60	3,964.00	3,859.70	2.48M	203.00
08-Mar-19	3,865.90	3,875.10	3,929.00	3,810.70	2.96M	-24.00
07-Mar-19	3,875.10	3,863.10	3,907.40	3,847.90	2.60M	32.00
06-Mar-19	3,863.00	3,857.20	3,887.30	3,816.70	2.52M	15.00
05-Mar-19	3,857.20	3,715.90	3,873.20	3,705.70	3.82M	380.00
04-Mar-19	3,715.90	3,809.70	3,828.40	3,681.80	2.85M	-245.00
03-Mar-19	3,809.50	3,823.20	3,836.60	3,789.70	1.51M	-36.00
02-Mar-19	3,823.10	3,821.90	3,843.20	3,783.60	1.61M	3.00
01-Mar-19	3,821.90	3,816.70	3,855.80	3,816.40	1.74M	14.00
28-Feb-19	3,816.60	3,814.60	3,883.70	3,783.30	2.31M	5.00
27-Feb-19	3,814.60	3,810.30	3,836.40	3,701.90	2.82M	11.00
26-Feb-19	3,810.30	3,833.50	3,845.50	3,775.00	2.09M	-61.00
25-Feb-19	3,833.70	3,755.70	3,870.70	3,753.80	765.87K	209.00
24-Feb-19	3,755.20	4,120.50	4,194.20	3,738.70	977.78K	-886.00
23-Feb-19	4,120.40	3,965.20	4,152.60	3,939.40	727.85K	391.00
22-Feb-19	3,965.20	3,937.40	3,983.10	3,931.70	649.55K	73.00
21-Feb-19	3,936.60	3,972.00	4,011.50	3,909.20	668.16K	-90.00
20-Feb-19	3,972.40	3,914.30	3,983.60	3,881.20	698.01K	148.00
19-Feb-19	3,914.30	3,896.40	3,993.80	3,863.70	1.44M	47.00
18-Feb-19	3,896.00	3,664.20	3,903.70	3,655.10	933.15K	633.00
17-Feb-19	3,664.20	3,616.80	3,689.90	3,607.90	580.51K	131.00
16-Feb-19	3,616.80	3,604.70	3,641.90	3,599.70	485.63K	34.00
15-Feb-19	3,604.70	3,592.60	3,648.30	3,581.40	516.21K	34.00
14-Feb-19	3,592.60	3,611.50	3,624.50	3,580.20	498.14K	-52.00
13-Feb-19	3,611.50	3,632.00	3,663.50	3,599.20	558.02K	-56.00
12-Feb-19	3,632.00	3,631.80	3,656.40	3,594.40	545.82K	1.00
11-Feb-19	3,631.80	3,678.80	3,681.10	3,623.80	517.28K	-128.00
10-Feb-19	3,679.00	3,661.00	3,680.60	3,617.10	501.90K	48.00
09-Feb-19	3,661.40	3,661.60	3,675.30	3,633.20	454.80K	-1.00
08-Feb-19	3,661.70	3,397.30	3,721.10	3,382.50	699.23K	777.00
07-Feb-19	3,397.70	3,404.90	3,421.80	3,390.30	471.36K	-20.00
06-Feb-19	3,404.30	3,468.50	3,478.00	3,383.90	514.21K	-185.00
05-Feb-19	3,468.40	3,463.00	3,485.90	3,450.30	460.95K	16.00
04-Feb-19	3,462.80	3,459.00	3,479.70	3,437.10	503.92K	11.00
03-Feb-19	3,459.10	3,502.30	3,507.80	3,431.30	451.66K	-124.00
02-Feb-19	3,502.50	3,467.90	3,514.50	3,447.80	443.60K	100.00
01-Feb-19	3,467.90	3,437.70	3,485.70	3,415.30	481.58K	90.00
